cid  ;ano;aaua;nvt;rm;abt;eec;cmp;pibpc;att;mert;dd;at;dsmc;fvt;meit;mct;cavt;mpet;vhd;meft;lat;vlc;vhct;mem;ipdm;mep;hiv;obit;bcg;hepa;hepb;poli;fa;dmt;rota;meni;pne;tri;tet;dtp;tpb;papi;cvdt;cvta;aaq;saldo;class
Araucária;2011;37839;2249;627592317,97;10;824086;16900;60642;953;32569;256,78;471,337;28,6;61700;3375;1371;7229469;2004;;22211;;;;5957;0,7993;1026;26;709;102,54;;109,75;107,21;73,73;542600658,38;94,68;120,85;98,01;112,84;;107,21;;;;;;84991659,59;positivo
Ariranha do Ivaí;2011;397;31;8546095,81;;2240;833;18911;;475;10,19;237,582;371,12;836;78;25;58218;53;;295;;;;102;0,7001;;;12;91,18;;111,76;108,82;105,88;8022360,26;108,82;120,59;111,76;129,41;;105,88;;;;;;523735,550000001;positivo
Assaí;2011;5176;221;24496474,75;5;43953;2583;19759;100;3726;36,87;440,012;378,51;8083;580;410;835263;170;;2252;;;;715;0,7189;179;4;129;89,92;;92,02;90,34;97,06;24282908,54;99,16;126,89;94,54;97,48;;89,92;;;;;;213566,210000001;positivo
Assis Chateaubriand;2011;11675;418;49671369,19;5;69004;4773;18720;180;7436;34,16;966,158;577,96;18458;1021;471;1824205;550;;4441;;;;1683;0,715;291;3;251;102,02;;97,73;101,76;89,17;47364866,13;97,73;119,4;101,01;93,95;;102,02;;;;;;2306503,05999999;positivo
Astorga;2011;9064;349;39620775,76;5;39754;4001;13934;60;5319;56,84;435,994;416,21;13257;932;360;1436924;572;;3225;;;;1053;0,7641;109;1;192;107,36;;104,68;103,68;104,01;35153412,77;105,02;153,51;103,68;106,35;;103,68;;;;;;4467362,98999999;positivo
Atalaia;2011;1332;46;9188887,3;;5730;663;17758;;821;28,36;137,724;475,56;1792;153;86;217582;67;;515;;;;153;0,7882;;;31;89,47;;107,89;102,63;81,58;8313314,48;102,63;113,16;97,37;131,58;;100;;;;;;875572,82;positivo
Balsa Nova;2011;3745;181;30342034,08;3;190480;2442;40817;43;3056;33,19;344,191;49,73;5772;384;207;587589;177;;2107;;;;565;0,7395;;;75;112,58;;94,34;107,55;48,43;26592237,5;87,42;103,77;64,15;98,74;;144,65;;;;;;3749796,58;positivo
Bandeirantes;2011;12242;436;40440736,96;5;53964;4185;11981;164;7811;71,85;446,301;406,86;14563;1098;685;1830000;413;;4768;;;;1686;0,706;259;1;250;95,75;;90,45;95,33;96,82;42445842,83;82,59;124,63;96,39;113,16;;95,12;;;;;;-2005105,87;negativo
Barbosa Ferraz;2011;3876;111;19056667,97;3;11797;2340;9250;21;2739;23,58;531,968;434,51;4235;324;101;583545;223;;1741;;;;609;0,672;65;;97;77,21;;76,47;89,71;94,85;17946501,9;79,41;107,35;86,76;112,5;;84,56;;;;;;1110166,07;positivo
Barra do Jacaré;2011;690;27;9162905;;3667;606;18626;7;569;23,57;115,727;391,55;1127;88;44;115261;44;;342;;;;139;0,6588;;;19;144,44;;138,89;138,89;127,78;9059350;133,33;188,89;144,44;166,67;;138,89;;;;;;103555;positivo
Barracão;2011;2431;142;16767511,12;1;12072;2326;13434;52;2530;59,99;162,804;551,7;5864;259;98;351240;161;;1784;;;;487;0,7091;;;59;105,26;;97,74;100,75;96,24;15942579,2;92,48;123,31;76,69;87,22;;100,75;;;;;;824931,92;positivo
Bela Vista da Caroba;2011;656;53;9493824,31;;3504;1055;11469;5;921;26,17;149,135;553,8;1541;111;25;88466;86;;657;;;;153;0,6895;;;27;151,28;;164,1;179,49;156,41;9028694,37;151,28;197,44;179,49;169,23;;205,13;;;;;;465129,940000001;positivo
Bela Vista do Paraíso;2011;5586;228;23824303,53;4;23126;3143;15666;110;3312;61,44;245,475;425,49;8080;387;96;884231;291;;2138;;;;696;0,6718;91;1;144;128,65;;121,08;115,14;111,35;22768144,79;122,16;150,81;98,92;107,57;;115,68;;;;;;1056158,74;positivo
Bituruna;2011;3186;234;34593185,92;3;27534;3169;11116;37;4426;13,04;1218,833;317,15;6245;464;205;498386;259;;3254;;;;708;0,712;;;84;82,55;;84,73;82,55;83,64;33467836,15;82,55;116,36;89,45;81,82;;82,55;;;;;;1125349,77;positivo
Boa Esperança;2011;1455;40;12253283,34;1;7568;818;24618;;1123;14,53;311,225;506,56;2253;212;65;230167;147;;591;;;;320;0,7643;;1;38;82,69;;94,23;94,23;82,69;12139722,91;101,92;115,38;96,15;96,15;;94,23;;;;;;113560,43;positivo
Boa Esperança do Iguaçu;2011;422;43;10738886,59;;4453;669;18149;3;691;18,2;150,418;476,85;1114;90;38;63459;52;;461;;;;140;0,7281;;;16;137,93;;148,28;148,28;134,48;10575303,49;148,28;189,66;131,03;86,21;;148,28;;;;;;163583,1;positivo
Boa Ventura de São Roque;2011;930;92;13822061,79;;9394;1474;15336;12;1801;10,52;621,319;314,72;2056;195;97;65000;98;;1172;;;;397;0,6115;37;;38;111,63;;95,35;98,84;102,33;12119781,31;96,51;111,63;93,02;100;;98,84;;;;;;1702280,48;positivo
Boa Vista da Aparecida;2011;1997;97;16633472,37;1;11156;1628;9066;27;1862;30,73;256,162;486,55;3119;172;64;307876;108;;1350;;;;340;0,668;;4;56;34,58;;114,02;116,82;124,3;15841155,99;101,87;163,55;110,28;96,26;;116,82;;;;;;792316,379999999;positivo
Bocaiúva do Sul;2011;2480;140;18687878,1;3;16911;2211;10390;26;2901;13,49;825,757;41,6;3930;312;119;377945;193;;2141;;;;448;0,5724;;;80;105,11;;115,91;120,45;80,11;19469970,66;92,05;105,68;108,52;111,36;;157,95;;;;;;-782092,559999999;negativo
Bom Jesus do Sul;2011;420;49;10671414,24;;3651;1213;10181;3;1051;21,58;174,682;563,08;1249;149;104;56977;45;;640;;;;262;0,7509;;;27;111,76;;121,57;123,53;115,69;11137133,35;121,57;149,02;119,61;119,61;;123,53;;;;;;-465719,109999999;negativo
Bom Sucesso;2011;2011;107;11581409,99;;7188;1943;11195;16;1408;20,53;321,007;405,71;2067;241;117;334254;124;;898;;;;269;0,6504;;3;54;123,33;;120;121,11;110;11995432,13;110;152,22;106,67;100;;120;;;;;;-414022,140000001;negativo
Bom Sucesso do Sul;2011;639;43;12221164,67;;6826;713;26372;1;648;16,8;195,566;457,92;1415;63;;91838;63;;444;;;;141;0,6392;;;26;97,67;;97,67;97,67;100;10714116,87;97,67;97,67;102,33;100;;102,33;;;;;;1507047,8;positivo
Borrazópolis;2011;2526;85;13305559,8;1;9231;1974;13594;10;1467;23;337,321;357,93;3601;171;70;378897;101;;959;;;;337;0,6818;;;65;91,4;;107,53;104,3;94,62;11561200,14;101,08;143,01;106,45;104,3;;104,3;;;;;;1744359,66;positivo
Braganey;2011;1464;55;12189855,26;;6536;1281;18765;;1586;16,63;342,758;536,03;2501;235;142;213480;93;;927;;;;424;0,7335;;;53;40,26;;100;101,3;89,61;11376422,89;97,4;110,39;96,1;100;;101,3;;;;;;813432,369999999;positivo
Brasilândia do Sul;2011;958;38;10074631,14;;4728;885;27205;3;697;10,62;297,248;602,54;1164;117;44;146734;73;;442;;;;138;0,7432;;;34;85,37;;92,68;95,12;100;9874059,07;104,88;126,83;97,56;107,32;;92,68;;;;;;200572,07;positivo
Cafeara;2011;863;28;9355118,68;;3318;431;15430;2;615;14,68;184,738;491,01;937;107;64;135893;43;;389;;;;119;0,6612;;;23;100;;129,03;132,26;116,13;7328526,72;96,77;116,13;109,68;100;;132,26;;;;;;2026591,96;positivo
Cafelândia;2011;5014;220;36363991,08;4;108750;2846;46967;62;3552;55;271,527;539,35;7523;650;440;733377;210;;2211;;;;691;0,8261;;2;52;103,3;;124,06;127,83;128,3;31225201,59;117,45;139,15;117,45;104,72;;127,83;;;;;;5138789,49;positivo
Cafezal do Sul;2011;1402;44;9818727,64;;5237;1118;10281;1;868;12,97;328,597;596,36;1626;118;53;208596;65;;568;;;;182;0,6896;;;38;67,27;;76,36;74,55;92,73;8630905,71;74,55;121,82;85,45;92,73;;74,55;;;;;;1187821,93;positivo
Califórnia;2011;2390;86;11856611,29;1;12107;2281;9300;17;1764;57;142,094;348,6;3990;364;92;375264;272;;1094;;;;306;0,7202;;;63;91,67;;88,54;100;93,75;13667419,94;88,54;169,79;107,29;109,38;;98,96;;;;;;-1810808,65;negativo
Cambará;2011;8147;290;31059491,54;5;54158;4428;16317;82;5534;65,67;365,091;396,97;12617;603;379;1272584;224;;3471;;;;1159;0,6792;301;3;208;94,59;;110,19;106,05;97,77;27825036,19;87,58;114,01;97,13;96,5;;106,05;;;;;;3234455,35;positivo
