cid  ;ano;aaua;nvt;rm;abt;eec;cmp;pibpc;att;mert;dd;at;dsmc;fvt;meit;mct;cavt;mpet;vhd;meft;lat;vlc;vhct;mem;ipdm;mep;hiv;obit;bcg;hepa;hepb;poli;fa;dmt;rota;meni;pne;tri;tet;dtp;tpb;papi;cvdt;cvta;aaq;saldo;class
Wenceslau Braz;2011;5835;262;26565780,31;4;19670;3474;11687;96;4383;49,02;393,236;282,62;7521;419;232;868949;187;;2861;;;;1018;0,6344;85;;170;97,57;;97,57;97,22;102,08;24688324,67;92,01;110,07;99,31;94,44;;97,22;;;;;;1877455,64;positivo
Xambrê;2011;1659;71;10807874,97;;7143;984;7746;;1234;16,64;358,994;598,16;2289;176;60;253886;116;;831;;;;227;0,6406;;;45;95,65;;94,2;108,7;59,42;10235741,96;97,1;118,84;102,9;91,3;;108,7;;;;;;572133,01;positivo
Abatiá;2012;2191;96;11768652,33;1;7276;2180;13173;13;1593;33,74;227,898;380,36;2808;195;75;347570;120;;983;;;1;415;0,6066;;;64;118,07;;131,33;122,89;125,3;11065627,72;122,89;134,94;124,1;126,51;;122,89;44,58;;;;;703024,609999999;positivo
Adrianópolis;2012;1164;74;15714978,59;1;4842;1160;13408;24;1676;4,68;1341,334;134,9;1960;122;24;192720;98;1;1182;;;;372;0,675;;1;28;81,91;;96,81;60,64;62,77;15899982,83;78,72;73,4;57,45;73,4;;88,3;35,11;;;;;-185004,24;negativo
Agudos do Sul;2012;1522;110;14072074,98;1;8039;1868;11429;15;1931;44,07;191,282;73,05;3917;178;72;220785;106;2;1372;;;1;381;0,5675;;1;51;118,87;;111,32;136,79;139,62;12428892,18;125,47;133,02;110,38;111,32;;133,96;;;;;;1643182,8;positivo
Almirante Tamandaré;2012;30705;1886;96248633,75;4;135275;895;8903;262;20148;551,81;191,114;15,15;41144;1645;661;4974957;984;69;15301;;4;13;3197;0,6316;5;32;628;113,06;;96,62;95,61;87;94795174,89;80,19;98,99;76,03;101,91;;98,65;30,16;;;;;1453458,86;positivo
Altamira do Paraná;2012;863;51;13055847,45;;4003;982;12049;4;1026;10,07;387,315;519,24;1296;95;57;129847;38;;679;;;;252;0,6579;;;25;109,62;;101,92;94,23;82,69;11597863,03;101,92;80,77;73,08;88,46;;92,31;15,38;;;;;1457984,42;positivo
Alto Paraíso;2012;971;38;15051844,85;;4970;709;16058;4;806;2,98;1045,718;641,27;1274;146;57;159848;89;;520;;;2;140;0,712;;;34;82,61;;104,35;106,52;95,65;14620845,55;115,22;108,7;89,13;95,65;;113,04;10,87;;;;3;430999,299999999;positivo
Alto Paraná;2012;4394;160;28799945,54;3;20721;2711;14684;62;2777;33,87;407,635;485,69;5864;385;214;688086;171;5;1864;;;1;528;0,7106;;4;103;98,77;;105,56;102,47;116,67;25067820,71;104,94;107,41;109,88;123,46;;101,23;35,8;;;;;3732124,83;positivo
Alto Piquiri;2012;3202;128;15994207,12;3;13125;1511;15473;24;2000;22,73;444,008;607,95;3850;306;110;503556;196;2;1346;;;6;348;0,6476;;3;87;113,6;;89,6;76,8;92;15717036,31;102,4;112;65,6;107,2;;96;19,2;;;;;277170,809999999;positivo
Altônia;2012;6116;239;33062583,09;4;32971;3564;9327;95;4033;28,4;729,317;649,71;10156;844;396;956858;448;3;2426;;;1;763;0,7311;;3;149;89,02;;93,09;93,9;93,09;34740187,52;83,74;90,65;103,25;109,76;;93,9;26,02;;;;1;-1677604,43;negativo
Alvorada do Sul;2012; ;98;20636990,76;2;14027;1200;16776;26;1925;24,98;417,91;453,71;4096;298;111;;187;4;1123;;;2;420;0,713;84;1;62;108,43;;107,23;91,57;108,43;20751481,39;107,23;115,66;124,1;114,46;;108,43;33,73;;;;;-114490,629999999;negativo
Amaporã;2012;1501;75;13904735,5;1;10222;1137;11450;5;1305;14,45;384,838;534,37;1764;179;61;242888;118;1;873;;1;;253;0,6326;;;29;76,19;;66,67;84,52;70,24;13388979,89;48,81;66,67;67,86;70,24;;84,52;23,81;;;;;515755,609999999;positivo
Ampére;2012;5300;249;32033527,46;4;34018;2636;19101;100;4002;59,18;296,751;530,91;9120;637;288;763929;349;5;2541;;;5;824;0,7482;;;135;104,26;;94,89;96,6;94,04;32838674,88;91,06;95,74;89,36;93,19;;97,02;0,85;;;;;-805147,419999998;negativo
Anahy;2012;880;28;10380612,36;;3779;724;20893;;622;27,89;102,331;546,44;1390;89;63;130438;26;;411;;;1;122;0,6546;;;22;34,29;;100;82,86;82,86;10199210,03;91,43;91,43;97,14;111,43;;97,14;25,71;;;;;181402,33;positivo
Andirá;2012;7598;261;45736461,97;4;66571;3002;25470;97;4243;87,67;233,261;399,92;10563;677;358;1266210;319;8;2782;;;8;737;0,7495;47;9;157;99,26;;87,87;85,29;81,62;39780648,22;83,82;93,38;84,56;87,5;;84,19;19,85;;;;1;5955813,75;positivo
Ângulo;2012;1093;35;9404790,08;;5626;711;17823;1;646;27,02;105,931;444,7;1263;170;60;223000;110;;356;;;1;120;0,6976;;;21;87,88;;112,12;103,03;121,21;9029808,13;109,09;100;112,12;100;;100;9,09;;;;;374981,949999999;positivo
Antonina;2012;6350;202;38847234,73;4;21777;211;16306;75;4560;21,5;876,551;80;3659;409;65;980000;344;5;3196;1;;4;824;0,5761;131;3;159;125,31;;111,2;119,92;88,8;43961854,93;94,61;112,86;113,28;107,05;;120,33;50,21;;;;;-5114620,2;negativo
Antônio Olinto;2012;640;62;14847668,86;;6577;1340;15872;5;1646;15,74;466,632;145,15;2736;153;;91826;153;;1173;;;;320;0,6716;;;57;84,81;;100;96,2;124,05;13930819,25;89,87;94,94;120,25;115,19;;110,13;15,19;;;;;916849,609999999;positivo
Apucarana;2012;44635;1664;183788245,33;12;305595;21102;17407;1183;26851;221,28;555,395;362,7;64499;5038;2071;7348395;2967;14;15913;1;;16;5314;0,8089;586;18;816;133,49;;92,18;92,18;87,72;179609039,98;81,29;91,48;98,26;94,84;;93,4;21,61;;;;1;4179205,35000002;positivo
Arapongas;2012;40797;1533;157233360,89;12;375626;25375;33139;1441;21536;280,33;381,615;379,65;67656;2728;1667;6433588;1061;10;14427;1;2;78;4198;0,7893;183;19;793;104,26;;93,74;97,94;106,74;149319003,51;90,3;97,94;93,12;119,81;;100,48;10,32;;;;1;7914357,38;positivo
Arapoti;2012;8041;392;45638554,8;5;442229;4008;30447;83;6849;19,2;1362,062;247,13;10351;1103;451;1202966;652;3;4074;;;13;1381;0,7143;291;3;160;84,49;;85,2;86,87;79,71;46786223,27;80,91;89,98;84,96;96,9;;88,78;24,58;;;;1;-1147668,47000001;negativo
Arapuã;2012;620;34;10680909,74;;4509;681;21022;1;844;15,91;218,04;375,58;1614;108;56;91949;52;1;563;;;;173;0,6109;;;30;65,96;;87,23;95,74;55,32;10591380,05;87,23;78,72;80,85;95,74;;95,74;2,13;;;;;89529,6899999995;positivo
Araruna;2012;4334;179;22409808,48;3;29525;2469;23671;26;2824;27,43;491,078;469,38;6601;448;126;661460;322;2;1765;;;3;611;0,7325;;;89;113,29;;108,86;109,49;115,19;22087434,91;89,87;96,2;98,1;112,66;;108,23;20,25;;;;;322373,57;positivo
Araucária;2012;39101;2285;688365484,66;12;703990;20991;46562;878;32825;260,7;471,337;28,6;66853;3950;1604;7617553;2346;63;22010;1;1;10;6029;0,8013;836;26;654;107,86;;160,6;113,28;104,68;726735393,66;101,59;120,4;114,68;124,03;;122,19;38,86;;;;;-38369909;negativo
Ariranha do Ivaí;2012;411;36;9407424,19;;2424;602;22733;;464;10,06;237,582;371,12;935;83;29;61102;54;;289;;;;92;0,705;;;18;105,88;;70,59;70,59;79,41;9924144,23;76,47;73,53;55,88;79,41;;73,53;29,41;;;;;-516720,040000001;negativo
Assaí;2012;5258;227;30343817,66;5;41698;3011;20261;97;3680;36,59;440,012;378,51;8678;593;295;857651;298;3;2121;;;1;827;0,7139;139;3;110;113,45;;80,25;94,54;89,5;29337489,94;96,64;92,44;106,3;106,3;;84,03;23,53;;;;;1006327,72;positivo
Assis Chateaubriand;2012;11897;398;55212788,09;5;72275;4523;19425;200;7199;34,14;966,158;577,96;19685;1082;521;1902238;561;11;4211;;;8;1622;0,7178;284;1;253;98,74;;101,01;106,55;99,24;58695266,31;93,95;101,26;105,54;100;;105,54;32,75;;;;;-3482478,22;negativo
Astorga;2012;9301;348;47629880,52;5;42680;3616;16093;111;5253;57,02;435,994;416,21;14206;947;453;1507262;494;2;3224;;;4;1021;0,7708;61;3;187;109,03;;112,71;112,37;110,7;44726561,19;111,71;114,05;113,04;117,06;;112,37;30,43;;;;;2903319,33000001;positivo
Atalaia;2012;1360;30;11145868,78;;6111;634;20646;12;806;28,3;137,724;475,56;1989;157;99;229606;58;;491;;;;158;0,8072;;;20;39,47;;73,68;105,26;73,68;12977883,96;78,95;105,26;110,53;134,21;;105,26;;;;;;-1832015,18;negativo
Balsa Nova;2012;3885;201;30798016,68;4;214470;3025;44212;33;3039;33,52;344,191;49,73;6392;402;202;619934;200;3;2069;;1;;568;0,7269;;;81;137,74;;116,35;120,75;98,74;29683070,67;108,18;134,59;116,98;133,96;;146,54;23,27;;;;2;1114946,01;positivo
Bandeirantes;2012;12283;401;45502192,82;5;57535;3898;13479;195;7616;71,59;446,301;406,86;15663;1096;692;3743970;404;1;4588;;;1;1689;0,7253;243;1;240;85,56;;87,69;84,29;86,62;44824824,11;84,08;81,95;85,35;93,21;;84,93;35,24;;;;1;677368,710000001;positivo
Barbosa Ferraz;2012;3958;125;19761196,65;3;12312;1892;10590;28;2670;23,38;531,968;434,51;4625;326;122;600351;204;;1670;;;2;588;0,6945;86;1;112;89,71;;87,5;90,44;85,29;18680994,61;89,71;92,65;81,62;78,68;;90,44;;;;;;1080202,04;positivo
Barra do Jacaré;2012;707;22;9737944;;4090;602;22234;2;520;23,57;115,727;391,55;1255;84;57;118838;27;;320;;;;116;0,7232;;;14;150;;166,67;172,22;161,11;10122878;127,78;161,11;166,67;133,33;;172,22;11,11;;;;;-384934;negativo
Barracão;2012;2513;130;19111723,26;1;13128;2039;16253;85;2440;60,17;162,804;551,7;6338;243;82;368190;161;3;1701;;;6;496;0,7104;;3;67;95,49;;101,5;96,99;96,24;19258053,17;90,23;97,74;103,76;104,51;;100;24,81;;;;;-146329,91;negativo
Bela Vista da Caroba;2012;692;49;9632208,4;;3586;1055;11758;3;899;25,89;149,135;553,8;1696;110;42;98355;68;;626;;;1;163;0,6653;;;26;120,51;;184,62;166,67;212,82;9649811,87;151,28;146,15;158,97;194,87;;176,92;33,33;;;;;-17603,4699999988;negativo
Bela Vista do Paraíso;2012;5753;209;24763511,93;4;23999;2840;19471;129;3253;61,46;245,475;425,49;8661;409;95;923040;314;;2090;;;5;684;0,6614;70;;116;105,95;;113,51;105,95;115,68;25427781,12;97,84;114,05;103,78;117,3;;110,81;42,16;;;;;-664269,190000001;negativo
Bituruna;2012;3209;229;39403538,61;3;29074;2928;11655;33;4391;13,05;1218,833;317,15;6750;439;155;517652;284;2;3203;;;7;749;0,7181;;1;85;83,27;;80,73;78,55;78,55;41267189,22;76,73;77,45;81,82;86,18;;79,64;0,36;;;;;-1863650,61;negativo
Boa Esperança;2012;1465;40;14996014,32;1;8006;898;28436;4;1099;14,39;311,225;506,56;2452;179;54;241875;125;;575;;;;345;0,7681;;;27;69,23;;69,23;69,23;75;14961284,6;73,08;67,31;69,23;76,92;;69,23;;;;;1;34729,7200000007;positivo
Boa Esperança do Iguaçu;2012;449;38;11321738,11;;4815;628;18823;;671;18,04;150,418;476,85;1258;98;35;68616;63;;434;;;3;139;0,73;;;10;141,38;;141,38;137,93;141,38;10379170,81;124,14;148,28;165,52;131,03;;134,48;44,83;;;;;942567,299999999;positivo
Boa Ventura de São Roque;2012;930;86;14266383,82;;9738;1509;18110;6;1634;10,49;621,319;314,72;2299;173;78;75000;95;3;1094;;;1;355;0,5956;12;;32;110,47;;112,79;109,3;98,84;14032973,75;105,81;105,81;108,14;106,98;;106,98;34,88;;;;;233410,07;positivo
Boa Vista da Aparecida;2012;2081;115;18808743,85;1;11914;2026;10286;44;1849;30,58;256,162;486,55;3393;200;62;322609;138;1;1315;;;3;334;0,6828;;1;69;33,64;;88,79;81,31;119,63;17798036,38;81,31;93,46;114,95;89,72;;96,26;27,1;;;;;1010707,47;positivo
Bocaiúva do Sul;2012;2648;179;21769103,88;3;17484;2438;11989;28;2878;13,66;825,757;41,6;4329;340;112;417868;228;10;2033;1;;2;505;0,6119;;1;70;130,11;;130,68;123,3;76,14;20418384,95;96,02;123,86;89,2;110,23;;171,59;16,48;;;;;1350718,93;positivo
Bom Jesus do Sul;2012;452;33;11424603,32;;4031;1178;10051;6;960;21,42;174,682;563,08;1412;154;113;62049;41;;541;;;;265;0,6836;;;28;80,39;;80,39;47,06;62,75;11499380,53;94,12;84,31;90,2;107,84;;74,51;27,45;;;;;-74777,209999999;negativo
Bom Sucesso;2012;2066;103;20783662,35;;7593;2019;12820;18;1418;20,62;321,007;405,71;2285;317;161;345089;156;2;825;;;;276;0,7001;;1;52;115,56;;105,56;105,56;135,56;20119695,6;107,78;111,11;110;133,33;;105,56;21,11;;;;;663966,75;positivo
Bom Sucesso do Sul;2012;655;49;12316789,67;;7635;696;31540;5;641;16,77;195,566;457,92;1559;62;;93632;62;;438;;;;141;0,648;;;30;97,67;;102,33;93,02;100;13738368,3;93,02;97,67;95,35;102,33;;86,05;25,58;;;;;-1421578,63;negativo
Borrazópolis;2012;2579;87;14251201,54;1;9746;1828;17976;18;1451;22,65;337,321;357,93;3904;223;78;392997;145;;895;;1;1;333;0,6877;;1;77;90,32;;70,97;76,34;78,49;14491775,23;69,89;79,57;77,42;83,87;;76,34;23,66;;;;;-240573,690000001;negativo
Braganey;2012;1557;68;12105236,91;;7033;1108;21895;1;1567;16,53;342,758;536,03;2705;226;162;228447;64;;906;;;1;435;0,6918;;1;44;3,9;;88,31;87,01;80,52;12371930,97;89,61;79,22;87,01;83,12;;87,01;24,68;;;;;-266694,06;negativo
Brasilândia do Sul;2012;1001;38;11574281,11;;5287;679;28714;3;724;10,45;297,248;602,54;1323;130;50;154524;80;;434;;;;160;0,7206;;;29;114,63;;92,68;100;90,24;12008009,5;97,56;117,07;92,68;90,24;;95,12;;;;;;-433728,390000001;negativo
Cafeara;2012;874;25;11614245,59;;3727;595;16713;1;629;14,76;184,738;491,01;1028;113;77;143122;36;2;395;;;1;121;0,6653;;;20;70,97;;100;93,55;93,55;10458859,2;96,77;100;93,55;67,74;;103,23;16,13;;;;;1155386,39;positivo
Cafelândia;2012;5202;208;40389768,95;4;128807;3075;56371;40;3681;55,96;271,527;539,35;8295;738;527;774823;211;;2251;;;1;692;0,8127;;3;62;69,81;;106,6;106,6;105,66;34278871,23;91,98;102,36;106,13;100,94;;106,13;25;;;;;6110897,72000001;positivo
Cafezal do Sul;2012;1434;49;12128523,38;;5932;1013;12378;7;825;12,89;328,597;596,36;1755;128;49;218094;79;;520;;;1;177;0,6778;;1;32;100;;83,64;72,73;107,27;12184221,72;98,18;105,45;107,27;87,27;;98,18;23,64;;;;;-55698,3399999999;negativo
Califórnia;2012;2449;95;16886465,43;1;13401;1862;10291;23;1770;57,21;142,094;348,6;4309;373;109;393973;264;;1079;1;;3;318;0,7324;;;75;105,21;;72,92;68,75;75;16162698,69;72,92;70,83;82,29;81,25;;70,83;18,75;;;;;723766,74;positivo
Cambará;2012;8264;298;35272459,81;5;56122;5056;18015;138;5359;65,9;365,091;396,97;13488;741;312;1306589;429;2;3156;;;6;1194;0,6864;268;5;186;87,9;;83,12;87,26;80,25;35674975,17;78,66;80,89;86,62;82,48;;89,17;32,48;;;;;-402515,359999999;negativo
Cambé;2012;36609;1287;134114523;8;241123;15077;26352;579;19866;197,58;496,122;392,93;49982;2672;567;6182384;2105;42;12922;;1;36;4154;0,7555;118;21;668;94,3;;103,59;102,72;104,47;127297866;105,43;105,17;110,6;102,72;;103,86;36,37;;;;;6816657;positivo
Cambira;2012;2311;104;16421380,34;1;17299;1711;16710;20;1332;44,61;164,078;376,5;4132;299;132;377667;167;;792;;;;241;0,7506;;1;56;113,25;;97,59;100;102,41;10501667,12;93,98;102,41;104,82;118,07;;89,16;28,92;;;;;5919713,22;positivo
Campina da Lagoa;2012;4799;220;27113460,63;4;20868;3893;17511;40;3693;18,99;797,598;494,29;6689;625;247;770706;378;2;2185;;;6;768;0,6873;115;3;134;110,81;;124,86;122,16;104,86;27472147,65;117,84;114,05;118,92;109,19;;123,78;31,89;;;;;-358687,02;negativo
Campina do Simão;2012;513;60;11960674,25;;3161;1246;17514;6;1138;8,94;451,311;308,89;1154;69;;76178;69;2;893;;;;176;0,574;;;29;95,65;;134,78;126,09;121,74;11810493,37;128,26;136,96;132,61;119,57;;136,96;52,17;;;;;150180,880000001;positivo
Campina Grande do Sul;2012;12111;800;82382493,05;4;80824;4346;22577;156;10029;72,89;540,631;32,24;18240;1217;403;1834734;814;25;7148;1;;8;1628;0,6958;36;10;235;124,93;;90,95;100,14;99,03;75623584,68;102,65;107,52;80,08;119,5;;100,42;27,58;;;;;6758908,36999999;positivo
Campo Bonito;2012;909;69;13303648,9;;5482;1157;25202;4;1087;10,01;429,306;449,64;1590;155;69;128784;86;2;689;;;1;243;0,6906;;1;28;5,97;;88,06;86,57;83,58;11675847,03;88,06;85,07;89,55;62,69;;94,03;40,3;;;;;1627801,87;positivo
Campo do Tenente;2012;1948;118;15806489,31;1;12200;2144;16263;13;1774;23,81;304,291;95,7;2618;285;100;284886;185;;1207;;;4;282;0,6438;;;42;65,85;;108,94;82,93;87,8;14018045,24;94,31;105,69;115,45;109,76;;108,94;44,72;;;;;1788444,07;positivo
Campo Largo;2012;34696;1744;194491661,92;7;280969;11658;22456;712;27994;89,93;1282,564;25,2;60222;3892;1378;5585633;2514;43;18134;2;4;23;5253;0,7479;715;25;669;101,61;;127,73;83,26;70,59;181233769,11;80,87;82,73;70,65;73,76;;84,7;;;;;1;13257892,81;positivo
Campo Magro;2012;6774;412;40808805,71;2;26457;5849;9974;22;5961;91,7;278,224;19;10173;924;246;1066233;678;8;4045;1;1;1;992;0,7;;4;144;99,74;;94,04;107,25;78,76;45566478,94;82,64;108,55;96,37;102,85;;102,07;28,24;;;;;-4757673,23;negativo
Campo Mourão;2012;33727;1289;176485963,62;9;263218;12158;25794;1084;20951;115,51;763,637;447,18;53196;4184;1237;5468718;2947;25;11858;3;3;12;4268;0,7496;641;29;674;134,66;;104,24;115,34;101,62;179187760;101,26;116,43;114,17;111,46;;115,88;8,03;;;;1;-2701796,38;negativo
Cândido de Abreu;2012;2135;200;24573505,11;3;16181;3931;11855;14;3617;10,78;1515,244;290,43;5094;217;129;309256;88;4;2657;;;7;743;0,5287;;1;123;83,27;;107,35;104,9;84,08;23752812,13;105,71;108,57;97,14;103,27;;105,71;;;;;;820692,98;positivo
Candói;2012;2973;234;37486701,96;2;29034;2512;19704;55;3994;10,01;1509,059;324,2;5518;434;58;432914;376;;2839;;;7;721;0,6799;;;97;106,07;;99,6;99,6;97,98;39554751,15;93,12;95,14;92,31;97,57;;99,6;38,46;;;;;-2068049,19;negativo
Cantagalo;2012;3043;185;20632569,88;2;12684;3257;11632;24;3288;22,23;583,52;329,2;3892;487;183;456221;304;7;2296;;;18;505;0,5926;;1;75;89,64;;90,67;92,23;90,16;22561512,05;91,71;94,3;92,23;91,71;;92,23;36,27;;;;;-1928942,17;negativo
Capanema;2012;4736;221;33235275,85;4;49339;2504;17298;94;3970;44,28;419,403;558,45;9244;615;304;959965;311;2;2353;;;10;937;0,6886;65;2;141;102,35;;91,55;97,65;88,73;35119729,41;94,37;94,37;113,62;98,59;;101,41;17,84;;;;;-1884453,56;negativo
Capitão Leônidas Marques;2012;4481;215;29121748,98;5;25806;1381;61807;103;3089;54,79;274,892;516,43;8035;312;48;665113;264;3;2065;;;3;712;0,7358;;7;84;73,85;;92,66;98,17;86,7;28648428,87;79,36;94,04;96,79;80,73;;98,17;5,5;;;;;473320,109999999;positivo
Carambeí;2012;5109;355;49997375,13;4;149035;326;47559;79;5362;30,7;645,422;135,28;9598;763;308;763943;455;5;3646;;;8;816;0,7543;137;2;81;109,39;;97,58;116,36;110,91;49762681,39;116,06;126,97;117,58;110,3;;108,18;9,7;;;;;234693,740000002;positivo
Carlópolis;2012;3869;175;23143679,87;3;17670;2256;16025;63;3006;30,66;449,079;360,58;6683;316;151;608995;165;2;2015;;;1;675;0,7026;;3;113;117,83;;132,48;143,95;135,67;22935999,39;135,67;131,21;143,95;150,32;;132,48;33,12;;;;;207680,48;positivo
Cascavel;2012;101968;4435;481967249,27;40;698738;34546;24671;3273;68797;139,8;2091,401;491;180066;10128;5151;16298521;4977;148;41559;6;;109;14718;0,8206;2392;75;1759;139,67;;95,48;100,12;94,63;444279103,46;89,33;103,94;100,88;103,43;;100,41;18,06;;;;2;37688145,81;positivo
Castro;2012;17382;1206;113795339,51;6;137888;13173;25189;266;18168;26,69;2533,247;156,6;30807;2219;1016;2724970;1203;13;12157;;;22;3579;0,7449;213;9;450;104,12;;99,66;100,84;86,45;116095738,05;76,43;92,26;91,16;94,44;;98,82;20,79;;;;1;-2300398,53999999;negativo
Catanduvas;2012;2045;123;18395059,51;3;13512;2098;15862;15;2363;17,25;589,604;468,67;3765;266;90;337412;176;1;1648;;;4;449;0,6382;;1;64;42,47;;94,52;92,47;110,96;21322333,69;95,21;95,89;93,84;140,41;;93,84;36,99;;;;;-2927274,18;negativo
Centenário do Sul;2012;3781;129;16355999,08;2;13752;2039;11910;25;2128;29,91;371,01;472,36;4778;327;97;631451;230;1;1415;;;1;386;0,6632;;2;112;128,07;;106,14;69,3;96,49;18825620,69;96,49;100,88;97,37;109,65;;104,39;48,25;;;;1;-2469621,61;negativo
Cerro Azul;2012;2718;234;28847852,38;3;10892;4605;10099;26;3789;12,69;1341,323;84,56;5482;223;129;416376;94;;3044;;;;522;0,5304;;5;101;84,56;;71,04;75,68;76,45;27697302,36;77,99;84,56;79,54;81,08;;82,24;26,64;;;;;1150550,02;positivo
Céu Azul;2012;3405;146;33517752,39;4;39265;1302;29345;24;2511;9,42;1180,163;542,1;6388;508;289;536192;219;2;1549;1;1;11;454;0,7565;;1;83;42,31;;86,15;81,54;103,85;32315387,16;110;122,31;81,54;88,46;;84,62;5,38;;;;;1202365,23;positivo
Chopinzinho;2012;4964;272;46686517,89;5;37952;3410;17566;79;4864;20,38;959,18;394,05;9696;699;245;733527;454;6;3045;;;6;1053;0,744;67;5;109;108,27;;104,72;105,51;101,97;46569343,03;96,46;110,24;100;102,76;;101,18;40,16;;;;;117174,859999999;positivo
Cianorte;2012;26576;1029;141912522,95;5;190511;11046;22975;599;15851;88,79;809,232;501,26;46445;2491;1473;4371457;1018;13;9616;;;26;3433;0,8255;311;15;390;106,42;;100,42;100,74;94,32;143203961,36;96,11;102,95;99,26;93,68;;99,79;21,26;;;;1;-1291438,41000003;negativo
Cidade Gaúcha;2012;3624;136;20871509,24;4;28766;3348;18320;52;2595;27,98;403,636;561,84;5410;464;236;621377;228;3;1679;;;;452;0,7515;;2;65;69,63;;77,49;78,01;79,58;22848945,62;67,54;74,35;81,68;84,82;;80,63;0,52;;;;;-1977436,38;negativo
Clevelândia;2012;5296;272;28889220,46;4;24010;3412;16345;82;4701;24,29;703,104;410,4;7335;413;226;779955;187;8;2987;2;;13;1116;0,6109;185;6;151;117,74;;101,13;99,62;84,53;28588542,29;65,66;103,4;87,17;91,7;;100,75;28,3;;;;;300678,170000002;positivo
Colombo;2012;69664;3827;233740237,45;13;346061;32802;15016;611;50599;1099,28;197,805;17,3;100255;9292;3958;11122086;5334;147;33803;7;1;18;7459;0,6867;45;64;1220;109,59;;107,8;80,76;81,17;254147045,39;88,78;107,99;88,53;96,75;;106,31;31,75;;;;;-20406807,94;negativo
Colorado;2012;8721;270;51396940,87;4;45708;3864;19011;152;4482;55,87;403,741;503,36;13626;511;355;1850000;156;7;2939;;;3;864;0,8027;168;2;185;102,64;;96,23;90,19;98,87;50236868,91;101,13;101,89;97,74;101,89;;90,19;21,13;;;;1;1160071,96;positivo
Congonhinhas;2012;1860;122;13593924,97;1;8211;991;13823;14;1905;15,67;532,329;349,84;2828;234;109;272865;125;;1296;;;1;375;0,6317;;;59;93,81;;80,53;73,45;88,5;10617635,7;94,69;93,81;84,07;90,27;;78,76;32,74;;;;;2976289,27;positivo
Conselheiro Mairinck;2012;1101;31;10200794,27;;4300;779;15380;5;957;17,91;204,494;324,14;1202;119;68;158963;51;1;596;;;2;242;0,7006;;;34;121,88;;134,38;134,38;121,88;9400083,78;131,25;140,63;146,88;131,25;;134,38;50;;;;1;800710,49;positivo
Contenda;2012;3894;251;26303233,07;5;19465;3818;11827;32;3579;54,2;300,569;49;7759;426;192;573852;234;13;2620;;;4;533;0,662;;1;111;135,6;;93,72;78,53;60,73;26097569,59;91,1;109,95;90,05;104,19;;97,38;42,93;;;;;205663,48;positivo
Corbélia;2012;5297;214;34050795;5;30887;3374;23939;31;3695;31;528,715;515,2;9501;649;239;841366;410;5;2155;;;5;819;0,7603;72;2;104;51,16;;96,28;96,28;91,63;33582024,89;95,81;97,67;99,07;97,21;;96,28;25,12;;;;;468770,109999999;positivo
Cornélio Procópio;2012;17422;505;84440566,41;8;135130;3596;21367;592;9932;73,58;637,946;394,53;27477;1269;635;2866255;634;9;6009;;;7;2248;0,7888;406;3;366;87,02;;80,45;85,99;82,53;95903258,39;79,07;83,91;86,33;91,7;;83,74;25,09;;;;2;-11462691,98;negativo
Coronel Domingos Soares;2012;861;116;17568158,13;;15767;926;15540;5;1977;4,67;1557,942;404,46;1571;226;78;121377;148;4;1401;;;1;350;0,6479;;;32;87,5;;75;96,67;98,33;17280429,07;85;97,5;95,83;106,67;;91,67;30;;;;;287729,059999999;positivo
Coronel Vivida;2012;5807;300;40589114,1;4;52579;3406;15828;111;4675;31,49;683,252;404,93;11014;573;222;868987;351;4;3064;;;9;1004;0,7422;34;;156;105,17;;97,05;100,74;98,89;39320656,73;98,89;97,42;95,94;102,95;;99,63;26,2;;;;;1268457,37;positivo
Corumbataí do Sul;2012;959;42;11025768,59;;3646;462;12029;6;871;22,77;169,528;447,82;1588;120;40;142664;80;1;562;;;;189;0,6064;;;29;93,33;;84,44;75,56;73,33;10416178,19;86,67;91,11;77,78;106,67;;75,56;22,22;;;;;609590,4;positivo
Cruz Machado;2012;1943;201;34972489,59;3;16152;3369;11580;39;4570;12,25;1477,372;287,44;7716;407;145;292254;262;1;3242;;;2;921;0,6754;;;110;79,5;;76,99;82,85;76,57;37352949,02;82,01;92,47;94,98;75,31;;83,68;12,13;;;;;-2380459,43;negativo
Cruzeiro do Iguaçu;2012;1273;58;13803133,67;;10694;1151;15834;;1096;26,54;160,576;463,99;1801;163;;193160;163;1;723;;;3;210;0,6999;;;28;82,54;;85,71;68,25;79,37;13616509,92;71,43;82,54;85,71;103,17;;85,71;15,87;;;;1;186623,75;positivo
Cruzeiro do Oeste;2012;7070;264;36779161,48;5;39506;4261;19875;84;4418;26,15;781,959;551,24;10068;767;309;1165504;458;1;2642;;1;6;901;0,7619;108;1;175;106,69;;89,76;97,64;90,94;37690321,02;100;105,51;109,06;81,5;;97,24;;;;;;-911159,540000007;negativo
Cruzeiro do Sul;2012;1220;53;11912463,46;1;7859;329;24410;6;958;17,5;259,148;492,42;2238;158;48;196201;110;1;606;;;1;194;0,7458;;;33;62,5;;80;76,25;68,75;10957812,47;60;90;86,25;80;;76,25;17,5;;;;;954650,99;positivo
